,favorite_count,retweet_count,tweet_id
0,39467,8853,892420643555336193
1,33819,6514,892177421306343426
2,25461,4328,891815181378084864
3,42908,8964,891689557279858688
4,41048,9774,891327558926688256
5,20562,3261,891087950875897856
6,12041,2158,890971913173991426
7,56848,16716,890729181411237888
8,28226,4429,890609185150312448
9,32467,7711,890240255349198849
10,31166,7624,890006608113172480
11,28268,5156,889880896479866881
12,38818,8538,889665388333682689
13,27672,4735,889638837579907072
14,15359,2321,889531135344209921
15,25652,5637,889278841981685760
16,29611,4709,888917238123831296
17,26080,4559,888804989199671297
18,20290,3732,888554962724278272
19,22201,3653,888078434458587136
20,30779,5609,887705289381826560
21,46959,12082,887517139158093824
22,69871,18781,887473957103951883
23,34222,10737,887343217045368832
24,31061,6167,887101392804085760
25,35859,8084,886983233522544640
26,12306,3443,886736880519319552
27,22798,4610,886680336477933568
28,21524,3316,886366144734445568
29,117,4,886267009285017600
30,28469,6523,886258384151887873
31,0,108,886054160059072513
32,33382,7097,885984800019947520
33,36689,6683,885528943205470208
34,20788,3899,885518971528720385
35,0,19297,885311592912609280
36,22367,4556,885167619883638784
37,68152,16439,884925521741709313
38,28514,6096,884876753390489601
39,24765,5100,884562892145688576
40,27478,5856,884441805382717440
41,74423,21298,884247878851493888
42,20771,3128,884162670584377345
43,22349,3586,883838122936631299
44,46860,10407,883482846933004288
45,22986,3825,883360690899218434
46,37914,6949,883117836046086144
47,24445,4122,882992080364220416
48,28903,5134,882762694511734784
49,28382,6342,882627270321602560
50,45880,12118,882268110199369728
51,29900,5203,882045870035918850
52,24773,3533,881906580714921986
53,51522,11099,881666595344535552
54,129,7,881633300179243008
55,50199,16570,881536004380872706
56,23501,5358,881268444196462592
57,17346,2886,880935762899988482
58,21734,3989,880872448815771648
59,29075,6546,880465832366813184
60,27640,4436,880221127280381952
61,28150,4533,880095782870896641
62,22667,3642,879862464715927552
63,315,10,879674319642796034
64,23822,3323,879492040517615616
65,107956,45849,879415818425184262
66,17099,3261,879376492567855104
67,0,7181,879130579576475649
68,23022,4941,879050749262655488
69,19317,2812,879008229531029506
70,19763,4319,878776093423087618
71,30931,7582,878604707211726852
72,0,1349,878404777348136964
73,0,6965,878316110768087041
74,7913,1349,878281511006478336
75,42876,7181,878057613040115712
76,71144,17300,877736472329191424
77,0,83,877611172832227328
78,23258,3994,877556246731214848
79,27907,5414,877316821321428993
80,27755,5880,877201837425926144
81,21125,3506,876838120628539392
82,23869,4800,876537666061221889
83,19163,2511,876484053909872640
84,28490,4903,876120275196170240
85,25773,4497,875747767867523072
86,22185,5081,875144289856114688
87,27997,6342,875097192612077568
88,26022,4922,875021211251597312
89,28439,4875,874680097055178752
90,0,15546,874434818259525634
91,26651,4308,874296783580663808
92,23134,4125,874057562936811520
93,35501,11007,874012996292530176
94,0,12518,873697596434513921
95,24837,4143,873580283840344065
96,0,1667,873337748698140672
97,7467,1667,873213775632977920
98,28031,5669,872967104147763200
99,15029,3884,872820683541237760
100,0,31,872668790621863937
101,21309,3911,872620804844003328
102,41606,9429,872486979161796608
103,35085,6649,872261713294495745
104,35324,8549,872122724285648897
105,39090,11918,871879754684805121
106,20787,3678,871762521631449091
107,20730,3628,871515927908634625
108,0,5991,871166179821445120
109,21461,5764,871102520638267392
110,23255,3999,871032628920680449
111,33791,6393,870804317367881728
112,121,3,870726314365509632
113,12819,2817,870656317836468226
114,85011,27680,870374049280663552
115,22453,4384,870308999962521604
116,37771,8840,870063196459192321
117,0,25661,869988702071779329
118,43710,10663,869772420881756160
119,29116,6728,869702957897576449
120,16476,3327,869596645499047938
121,21112,4023,869227993411051520
122,55098,12518,868880397819494401
123,0,2240,868639477480148993
124,28295,6275,868622495443632128
125,10539,2240,868552278524837888
126,24964,4439,867900495410671616
127,35179,7788,867774946302451713
128,16755,2697,867421006826221569
129,0,135,867072653475098625
130,33420,8425,867051520902168576
131,0,32883,866816280283807744
132,20888,5168,866720684873056260
133,20070,3727,866686824827068416
134,106827,32883,866450705531457537
135,54720,15546,866334964761202691
136,0,8952,866094527597207552
137,26640,6008,865718153858494464
138,27530,5384,865359393868664832
139,29063,8209,865006731092295680
140,33651,9361,864873206498414592
